Ignore mate,gnome,e17 and games packages.
İsim: qgit, sürüm: 2.3, yayım: 1
İsim: qhull, sürüm: 2003.1, yayım: 1
İsim: qhull-devel, sürüm: 2003.1, yayım: 1
İsim: qhull-docs, sürüm: 2003.1, yayım: 1
İsim: qjackctl, sürüm: 0.3.9, yayım: 1
İsim: qmc2, sürüm: 0.40, yayım: 1
İsim: qpitch, sürüm: 1.0.1, yayım: 1
İsim: qrencode, sürüm: 3.3.1, yayım: 1
İsim: qrencode-devel, sürüm: 3.3.1, yayım: 1
İsim: qsynth, sürüm: 0.3.6, yayım: 1
İsim: qt-recordmydesktop, sürüm: 0.3.8, yayım: 1
İsim: qtemu, sürüm: 1.0.5, yayım: 1
İsim: qtoctave, sürüm: 0.10.1, yayım: 1
İsim: queen, sürüm: 1.1, yayım: 1
İsim: quickformat, sürüm: 1.1.0, yayım: 1
İsim: quota, sürüm: 4.0.1, yayım: 1
İsim: radiotray, sürüm: 0.7.3, yayım: 1
İsim: rarian, sürüm: 0.8.1, yayım: 1
İsim: rarian-devel, sürüm: 0.8.1, yayım: 1
İsim: rasta, sürüm: 1.0, yayım: 1
İsim: rcs, sürüm: 5.7, yayım: 1
İsim: rdiff-backup, sürüm: 1.2.8, yayım: 1
İsim: recode, sürüm: 3.6, yayım: 1
İsim: recode-devel, sürüm: 3.6, yayım: 1
İsim: recordmydesktop, sürüm: 0.3.8.1, yayım: 1
İsim: redeclipse, sürüm: 1.3.1, yayım: 1
İsim: reiserfsprogs, sürüm: 3.6.21, yayım: 1
İsim: risk, sürüm: 1.1.0.1, yayım: 1
İsim: rlog, sürüm: 1.4, yayım: 1
İsim: rlog-devel, sürüm: 1.4, yayım: 1
İsim: rlog-docs, sürüm: 1.4, yayım: 1
İsim: rlplot, sürüm: 1.5, yayım: 1
İsim: rosegarden, sürüm: 12.04, yayım: 1
İsim: rp-pppoe, sürüm: 3.11, yayım: 1
İsim: rpcalc, sürüm: 0.6.0, yayım: 1
İsim: rsync, sürüm: 3.0.9, yayım: 1
İsim: rtkit, sürüm: 0.9, yayım: 1
İsim: rtmpdump, sürüm: 2.3, yayım: 1
İsim: rtmpdump-devel, sürüm: 2.3, yayım: 1
İsim: ruby-gtk2, sürüm: 1.1.3, yayım: 1
İsim: rumor, sürüm: 1.0.5, yayım: 1
İsim: rzip, sürüm: 2.1, yayım: 1
İsim: sablotron, sürüm: 1.0.3, yayım: 1
İsim: sablotron-devel, sürüm: 1.0.3, yayım: 1
İsim: sablotron-docs, sürüm: 1.0.3, yayım: 1
İsim: sac, sürüm: 1.3, yayım: 1
İsim: sane-frontends, sürüm: 1.0.14, yayım: 1
İsim: sash, sürüm: 3.7, yayım: 1
İsim: schedtool, sürüm: 1.3.0, yayım: 1
İsim: scientificpython, sürüm: 2.9.2, yayım: 1
İsim: scientificpython-devel, sürüm: 2.9.2, yayım: 1
İsim: scientificpython-docs, sürüm: 2.9.2, yayım: 1
İsim: scourge-data, sürüm: 0.21.1, yayım: 1
İsim: sdl-gfx, sürüm: 2.0.24, yayım: 1
İsim: sdl-gfx-32bit, sürüm: 2.0.24, yayım: 1
İsim: sdl-gfx-devel, sürüm: 2.0.24, yayım: 1
İsim: sdl-image, sürüm: 1.2.12, yayım: 1
İsim: sdl-image-32bit, sürüm: 1.2.12, yayım: 1
İsim: sdl-image-devel, sürüm: 1.2.12, yayım: 1
İsim: sdl-mixer, sürüm: 1.2.12, yayım: 1
İsim: sdl-mixer-32bit, sürüm: 1.2.12, yayım: 1
İsim: sdl-mixer-devel, sürüm: 1.2.12, yayım: 1
İsim: sdl-pango, sürüm: 0.1.2, yayım: 1
İsim: sdl-pango-devel, sürüm: 0.1.2, yayım: 1
İsim: sdl-sound, sürüm: 1.0.3, yayım: 1
İsim: sdl-sound-devel, sürüm: 1.0.3, yayım: 1
İsim: sdl-ttf, sürüm: 2.0.11, yayım: 1
İsim: sdl-ttf-32bit, sürüm: 2.0.11, yayım: 1
İsim: sdl-ttf-devel, sürüm: 2.0.11, yayım: 1
